item,nombre,sku,nombredepa,marca,nombrecat,dieta,estado,image
343474,LOADED COCOA PUFF,1600020679,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/343474.JPG
332244,HARINA P PASTEL CAKE AMARILLO ,1600020711,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/332244.JPG
331569,HARINA P PASTEL GOLDEN VANILLA,1600020752,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331569.JPG
331574,HARINA P PASTEL RED VELVET CAK,1600020755,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331574.JPG
331573,HARINA P PASTEL RAINBOW CHIP,1600020757,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331573.JPG
332251,HARINA P PASTEL MIX MILK CHOCO,1600020759,Despensa,BETTY CROCKER,Reposteria,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/332251.JPG
332252,HARINA P PASTEL MIX BUTTER YEL,1600020761,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/332252.JPG
331571,HARINA P PASTEL CARROT,1600020763,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331571.JPG
331570,HARINA P PASTEL CHOCOLATE FUDG,1600020765,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331570.JPG
332250,HARINA P PASTEL CAKE MIX LIMON,1600020766,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/332250.JPG
332247,HARINA P PASTEL CAKE MIX DEVIL,1600020769,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/332247.JPG
331572,HARINA P PASTEL FRENCH VANILLA,1600020771,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331572.JPG
347562,DULCE PARA HORNEAR MIX FRESA,1600020777,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/347562.JPG
332255,HARINA P PASTEL FRENCH VAINILL,1600020806,Despensa,PILLSBURY ,Reposteria,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/332255.JPG
332254,HARINA P PASTEL FUNFETTI ,1600020807,Despensa,PILLSBURY ,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/332254.JPG
332253,HARINA P PASTEL GERMAN CHOCOLA,1600020808,Despensa,PILLSBURY ,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/332253.JPG
331577,HARINA P PASTEL YELLOW CAKE ,1600020812,Despensa,PILLSBURY ,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331577.JPG
331576,HARINA P PASTEL LEMON,1600020814,Despensa,PILLSBURY ,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/331576.JPG
344395,LUCKY CHARMS BERRY SWIRL ,1600020929,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/344395.JPG
346664,BARRA CEREAL NV BATIDO DE BAYA,1600021149,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/346664.JPG
353832,GM REESES PUFFS PB LOVERS MS,1600021166,Despensa,REESE'S,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/353832.JPG
338515,CHEERIOS HNY MINI,1600021191,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/338515.JPG
352374,DULCE BC CHOCOLATE BAJO AZUCAR,1600022008,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/352374.JPG
352375,DULCE BC CHOCOCHISPAS B AZUCAR,1600022009,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/352375.JPG
352373,DULCE BC AMARILLO BAJO AZUCAR,1600022011,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/352373.JPG
341188,GM LOADED BIRTHDAY CAKE,1600022158,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/341188.JPG
344394,GM WAFFLE TOAST CRUNCH MS,1600022195,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/344394.JPG
350405,PROTEIN CARAMEL MARSHMALLOW,1600022207,Despensa,CHOST,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/350405.JPG
350406,PROTEIN CEREAL PEANUT BUTTER,1600022208,Despensa,CHOST,Cereales Y Granola,"[""Gluten-free"",""Keto""]",1,https://riba.app/imgrs/THUMBS%20500X500/350406.JPG
357138,EV GM CHEERIOS BLEND APL STRAW,1600022233,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/357138.JPG
346480,GM LOADED GG SMORES LS,1600022629,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/346480.JPG
